Teff,logg,logZ,CtoO,logKzz,F115W,F150W,F277W,F444W
500,3.5,+0.5,0.85,-1,-28.56077292051146,-27.00115518045713,-26.23271161115996,-30.522190009273142
500,3.5,+0.5,0.85,2,-28.26515432896185,-27.04030033850906,-26.701978495811936,-30.159654153756186
500,3.5,+0.5,0.85,10,-28.60065872219876,-27.47052454125905,-27.119713823046723,-29.407747638373646
500,3.5,+0.75,0.1,-1,-28.392267620933417,-27.194275352499243,-26.005108721821255,-30.434864114482288
500,3.5,+0.75,0.1,2,-28.16732307700621,-27.058121248116272,-26.47063793148432,-30.193161484014908
500,3.5,+0.75,0.1,10,-27.937116248693098,-27.49592475951554,-26.509923948197308,-29.93479856948538
500,3.5,+0.75,0.55,-1,-28.519835722841638,-26.99346719318372,-26.143285210584658,-30.427009715450666
500,3.5,+0.75,0.55,2,-28.279386609305483,-26.963093383314533,-26.58308667294311,-30.054083377051985
500,3.5,+0.75,0.55,10,-28.61729883712308,-27.407648044054067,-26.936851083062944,-29.49058656573395
500,3.5,+0.75,0.85,-1,-28.348035544776316,-26.934451008202522,-26.306673468312837,-30.4604426125068
500,3.5,+0.75,0.85,2,-28.126803730784566,-26.9773794145561,-26.744119404780836,-29.9676161975149
500,3.5,+0.75,0.85,10,-28.57336140337736,-27.355291359005527,-27.146865266675377,-29.229186653734214
500,3.5,+1.0,0.1,-1,-28.336894247133415,-27.11078492953453,-26.064497836195635,-30.37790073016656
500,3.5,+1.0,0.1,2,-28.04106888310684,-26.935380204371874,-26.50033507163443,-30.093664581301788
500,3.5,+1.0,0.1,10,-27.74967273375552,-27.44221358025001,-26.487297340050326,-29.863190988835335
500,3.5,+1.0,0.55,-1,-28.46760118979561,-26.91121023632394,-26.24680960052652,-30.380657062858283
500,3.5,+1.0,0.55,2,-28.193274002884007,-26.75630132537178,-26.616451945744632,-29.944378424241034
500,3.5,+1.0,0.55,10,-28.499995268912972,-27.290224299319664,-26.9606678231092,-29.415124602574117
500,3.5,+1.0,0.85,-1,-28.335679208444795,-26.92702129155962,-26.350620819715623,-30.393319822075146
500,3.5,+1.0,0.85,2,-28.123513715622003,-26.921869067437953,-26.77084373664913,-29.754312815511664
